y,x
-8.691109379941325264e-01,0.000000000000000000e+00
4.116592851663758990e-01,9.000000000000000222e-01
5.109830584791723584e-01,1.800000000000000044e+00
2.759844317206741948e+00,2.700000000000000178e+00
1.329695348611066308e+00,3.600000000000000089e+00
4.111355067459809831e+00,4.500000000000000000e+00
4.133114134193188960e+00,5.400000000000000355e+00
2.567789059386914818e+00,6.299999999999999822e+00
4.568405891814014907e+00,7.200000000000000178e+00
5.151490000600887242e+00,8.099999999999999645e+00
5.570543215253799474e+00,9.000000000000000000e+00
7.145466544736587267e+00,9.900000000000000355e+00
8.194355828657716501e+00,1.080000000000000071e+01
7.030071252118590408e+00,1.170000000000000107e+01
7.390081710238094459e+00,1.259999999999999964e+01
9.612455786692855497e+00,1.350000000000000000e+01
1.144130268171999987e+01,1.440000000000000036e+01
1.151953288998190317e+01,1.530000000000000071e+01
1.210192563275887068e+01,1.619999999999999929e+01
1.323436058801006610e+01,1.710000000000000142e+01
1.200383396884007325e+01,1.800000000000000000e+01
1.332577603415018430e+01,1.890000000000000213e+01
1.467807480734836645e+01,1.980000000000000071e+01
